# Step Strain Stress Density
119 3.080444e-04 5.893239e+07 4.931313e+10 
120 3.087780e-04 5.902020e+07 4.996973e+10 
121 3.095115e-04 5.910687e+07 5.064569e+10 
122 3.103918e-04 5.920919e+07 5.146877e+10 
123 3.114481e-04 5.932956e+07 5.242919e+10 
124 3.120819e-04 5.940062e+07 5.301992e+10 
125 3.127157e-04 5.947068e+07 5.364021e+10 
126 3.134762e-04 5.955339e+07 5.439901e+10 
127 3.143889e-04 5.965069e+07 5.532019e+10 
128 3.154840e-04 5.976459e+07 5.645267e+10 
129 3.167983e-04 5.989724e+07 5.782117e+10 
130 3.183753e-04 6.005002e+07 5.955191e+10 
131 3.193215e-04 6.013874e+07 6.059686e+10 
132 3.197947e-04 6.018233e+07 6.090364e+10 
133 3.200312e-04 6.020393e+07 6.107131e+10 
134 3.201495e-04 6.021468e+07 6.118100e+10 
135 3.202678e-04 6.022538e+07 6.128952e+10 
136 3.204097e-04 6.023816e+07 6.143187e+10 
137 3.205800e-04 6.025343e+07 6.160697e+10 
138 3.207844e-04 6.027162e+07 6.182187e+10 
139 3.210297e-04 6.029331e+07 6.208218e+10 
140 3.213240e-04 6.031913e+07 6.229643e+10 
141 3.215006e-04 6.033453e+07 6.245912e+10 
142 3.216772e-04 6.034983e+07 6.261321e+10 
143 3.218891e-04 6.036805e+07 6.282835e+10 
144 3.221434e-04 6.038978e+07 6.306532e+10 
145 3.224485e-04 6.041565e+07 6.332100e+10 
146 3.228147e-04 6.044638e+07 6.366204e+10 
147 3.232541e-04 6.048283e+07 6.410864e+10 
148 3.235178e-04 6.050444e+07 6.438343e+10 
149 3.237814e-04 6.052586e+07 6.466510e+10 
150 3.240978e-04 6.055134e+07 6.501361e+10 
151 3.244775e-04 6.058153e+07 6.541241e+10 
152 3.249330e-04 6.061726e+07 6.585125e+10 
153 3.252064e-04 6.063838e+07 6.613001e+10 
154 3.254797e-04 6.065933e+07 6.633781e+10 
155 3.256438e-04 6.067178e+07 6.642458e+10 
156 3.257258e-04 6.067797e+07 6.646996e+10 
157 3.258078e-04 6.068415e+07 6.648955e+10 
158 3.259062e-04 6.069152e+07 6.651630e+10 
159 3.260243e-04 6.070037e+07 6.660119e+10 
160 3.261660e-04 6.071095e+07 6.668444e+10 
161 3.263360e-04 6.072357e+07 6.680635e+10 
162 3.265401e-04 6.073865e+07 6.692930e+10 
163 3.267849e-04 6.075661e+07 6.711884e+10 
164 3.270788e-04 6.077795e+07 6.736497e+10 
165 3.274314e-04 6.080337e+07 6.758473e+10 
166 3.276429e-04 6.081854e+07 6.769429e+10 
167 3.278545e-04 6.083360e+07 6.785993e+10 
168 3.281084e-04 6.085151e+07 6.807933e+10 
169 3.284130e-04 6.087287e+07 6.836558e+10 
170 3.287786e-04 6.089827e+07 6.869664e+10 
171 3.289980e-04 6.091337e+07 6.889923e+10 
172 3.292173e-04 6.092835e+07 6.907617e+10 
173 3.294805e-04 6.094616e+07 6.929826e+10 
174 3.297964e-04 6.096732e+07 6.958105e+10 
175 3.301754e-04 6.099239e+07 6.991132e+10 
176 3.306303e-04 6.102205e+07 7.033457e+10 
177 3.309032e-04 6.103959e+07 7.058954e+10 
178 3.311761e-04 6.105696e+07 7.084446e+10 
179 3.315036e-04 6.107753e+07 7.115230e+10 
180 3.318966e-04 6.110186e+07 7.155719e+10 
181 3.323681e-04 6.113049e+07 7.206298e+10 
182 3.326511e-04 6.114748e+07 7.228436e+10 
183 3.329340e-04 6.116427e+07 7.253504e+10 
184 3.331038e-04 6.117422e+07 7.270372e+10 
185 3.332736e-04 6.118410e+07 7.287001e+10 
186 3.334773e-04 6.119579e+07 7.308604e+10 
187 3.337218e-04 6.120975e+07 7.335108e+10 
188 3.340151e-04 6.122625e+07 7.363634e+10 
189 3.343672e-04 6.124592e+07 7.391759e+10 
190 3.345784e-04 6.125759e+07 7.412798e+10 
191 3.347896e-04 6.126915e+07 7.431692e+10 
192 3.350431e-04 6.128292e+07 7.457418e+10 
193 3.353472e-04 6.129922e+07 7.485891e+10 
194 3.357122e-04 6.131854e+07 7.524634e+10 
195 3.359312e-04 6.133003e+07 7.542955e+10 
196 3.361502e-04 6.134134e+07 7.562794e+10 
197 3.364130e-04 6.135479e+07 7.591308e+10 
198 3.367283e-04 6.137068e+07 7.624893e+10 
199 3.371068e-04 6.138937e+07 7.667685e+10 
200 3.375609e-04 6.141129e+07 7.715975e+10 
201 3.381058e-04 6.143691e+07 7.777929e+10 
202 3.387597e-04 6.146662e+07 7.852913e+10 
203 3.395444e-04 6.150068e+07 7.946037e+10 
