strain,screw_percent,mixed_percent,edge_percent
1.952951000000000133e-04,2.497488504550449129e+00,1.439111194891315826e+01,8.311139954653640416e+01
1.982951000000000050e-04,2.707295013767114344e+00,1.360698738117496731e+01,8.368571760505790280e+01
2.012950999999999966e-04,2.607923187305307255e+00,1.429448651312699781e+01,8.309759029956769893e+01
2.042950999999999882e-04,2.991677806298837172e+00,1.507189662514455897e+01,8.193642556855660075e+01
2.072951000000000069e-04,2.711703279977021541e+00,1.528154553450220732e+01,8.200675118552076981e+01
2.102950999999999985e-04,2.690133662584594187e+00,1.549499239214307522e+01,8.181487394527233903e+01
2.132950999999999901e-04,3.016123782301725065e+00,1.537621912136910574e+01,8.160765709632916298e+01
2.162951000000000088e-04,2.984210153670888932e+00,1.605828946256449186e+01,8.095750038376461077e+01
2.192951000000000004e-04,4.006207200869683405e+00,1.613621796548741827e+01,7.985757483364290010e+01
2.222950999999999920e-04,4.148385798450530793e+00,1.596231375623161419e+01,7.988930044531784347e+01
2.252951000000000107e-04,4.090765957745034598e+00,1.636937663582419944e+01,7.953985740643075530e+01
2.282951000000000023e-04,4.373335594064071685e+00,1.659215163440826402e+01,7.903451277152765897e+01
2.312950999999999939e-04,4.737620202943737091e+00,1.686800920326501441e+01,7.839437059379125117e+01
2.342951000000000126e-04,4.925926016808051422e+00,1.734382830986087498e+01,7.773024567333106916e+01
2.372951000000000042e-04,5.048673499776691997e+00,1.784959863106192657e+01,7.710172786916137966e+01
2.402950999999999959e-04,5.020794246769019864e+00,1.864547865205685895e+01,7.633372710117411941e+01
2.432950999999999875e-04,5.431773767284571619e+00,1.912591316734581426e+01,7.544231306536961768e+01
2.462950999999999791e-04,5.491472233352563848e+00,1.937752469912103592e+01,7.513100306752639312e+01
2.492950999999999978e-04,5.487626249875298790e+00,1.878187303003859654e+01,7.573050072008611266e+01
2.522951000000000165e-04,5.651548002954170258e+00,1.934649779051471441e+01,7.500195420653112421e+01
2.552950999999999810e-04,5.518948467648870704e+00,1.906491166184477137e+01,7.541613987050637036e+01
2.582950999999999997e-04,5.781357494535012798e+00,1.883883518664433865e+01,7.537980731882063878e+01
2.612951000000000184e-04,6.142653982491379061e+00,1.929736125055335805e+01,7.455998476695526733e+01
2.642950999999999829e-04,6.865051927047281843e+00,1.888300264298402809e+01,7.425194542996868563e+01
2.672951000000000016e-04,6.693085116965691306e+00,1.886615166816679334e+01,7.444076321486751624e+01
2.702951000000000203e-04,7.082716782529939969e+00,1.848154771732735213e+01,7.443573550014268392e+01
2.732950999999999848e-04,7.076809274867584598e+00,1.933517510084177360e+01,7.358801562429064802e+01
2.762951000000000035e-04,7.629692621304199562e+00,1.913945770939918489e+01,7.323084966929661732e+01
2.792951000000000223e-04,7.883436060921193089e+00,1.847714784360741191e+01,7.363941609547138967e+01
2.822950999999999868e-04,8.198934924929398349e+00,1.818231451160635714e+01,7.361875056346424628e+01
2.852951000000000055e-04,8.306013815918401377e+00,1.878511031584388746e+01,7.290887586823770050e+01
2.882951000000000242e-04,8.972857018042063260e+00,1.897923887299970858e+01,7.204790410895823527e+01
2.912950999999999887e-04,9.481729671032395501e+00,1.912839380786790144e+01,7.138987652109969417e+01
2.942951000000000074e-04,9.877840696402538256e+00,1.886175640637888051e+01,7.126040289721859722e+01
2.972951000000000261e-04,9.744113309170202797e+00,1.928910122708805375e+01,7.096678546374174346e+01
3.002950999999999906e-04,9.918670678864137003e+00,1.898322961238334727e+01,7.109809970875251395e+01
3.032951000000000093e-04,1.017258502355264405e+01,1.916621430486549826e+01,7.066120067158185236e+01
3.062950999999999738e-04,1.064569397717368027e+01,1.921414688543038807e+01,7.014015913739592634e+01
3.092950999999999925e-04,1.103029665334486964e+01,1.891644313623765683e+01,7.005326021041747708e+01
3.122951000000000112e-04,1.154694211787636959e+01,1.904039212022086858e+01,6.941266576190274407e+01
3.152950999999999757e-04,1.192258700318895492e+01,1.908342659940311847e+01,6.899398639740792305e+01
3.182950999999999944e-04,1.216034497899608624e+01,1.943692158964397976e+01,6.840273343135993400e+01
3.212951000000000132e-04,1.273987062115331703e+01,1.920271101603325903e+01,6.805741836281342216e+01
3.242950999999999777e-04,1.277671559238784660e+01,1.961037484926410102e+01,6.761290955834805061e+01
3.272950999999999964e-04,1.333276174934434444e+01,1.945137622161229629e+01,6.721586202904335039e+01
3.302951000000000151e-04,1.322377398125141745e+01,1.979805544059130895e+01,6.697817057815728958e+01
3.332950999999999796e-04,1.377752523408268814e+01,2.052425738412474132e+01,6.569821738179257409e+01
3.362950999999999983e-04,1.438738687935001082e+01,1.996849470301269136e+01,6.564411841763731559e+01
3.392951000000000170e-04,1.520719146063091287e+01,2.002708391321599279e+01,6.476572462615310144e+01
3.422950999999999815e-04,1.557093202042012337e+01,1.953948658007691463e+01,6.488958139950295845e+01
3.452951000000000002e-04,1.626123068952441031e+01,1.914158735574342529e+01,6.459718195473216440e+01
3.482951000000000189e-04,1.643481284185253699e+01,1.959110689163184560e+01,6.397408026651562096e+01
3.512950999999999834e-04,1.654936163247877801e+01,2.035815925790124226e+01,6.309247910961997263e+01
