# Step Strain Stress Density
119 3.106326e-07 3.816695e+04 2.043945e+12 
120 3.124180e-07 3.839884e+04 2.043940e+12 
121 3.145605e-07 3.871504e+04 2.043938e+12 
122 3.158460e-07 3.886459e+04 2.043961e+12 
123 3.171315e-07 3.908457e+04 2.043928e+12 
124 3.186741e-07 3.924831e+04 2.043911e+12 
125 3.205253e-07 3.944562e+04 2.043884e+12 
126 3.216359e-07 3.960253e+04 2.043885e+12 
127 3.227466e-07 3.972206e+04 2.043872e+12 
128 3.240794e-07 3.988750e+04 2.043840e+12 
129 3.256788e-07 4.007710e+04 2.043824e+12 
130 3.275980e-07 4.035347e+04 2.043808e+12 
131 3.287496e-07 4.046610e+04 2.043814e+12 
132 3.299011e-07 4.063526e+04 2.043793e+12 
133 3.312830e-07 4.079488e+04 2.043783e+12 
134 3.329412e-07 4.102514e+04 2.043790e+12 
135 3.349311e-07 4.123699e+04 2.043820e+12 
136 3.373189e-07 4.151290e+04 2.043806e+12 
137 3.401844e-07 4.187564e+04 2.043809e+12 
138 3.436229e-07 4.230234e+04 2.043807e+12 
139 3.477491e-07 4.278741e+04 2.043842e+12 
140 3.527005e-07 4.340678e+04 2.043837e+12 
141 3.586423e-07 4.415771e+04 2.043817e+12 
142 3.657723e-07 4.504174e+04 2.043825e+12 
143 3.679114e-07 4.529402e+04 2.043851e+12 
144 3.689809e-07 4.539659e+04 2.043857e+12 
145 3.700504e-07 4.552514e+04 2.043855e+12 
146 3.713338e-07 4.568643e+04 2.043845e+12 
147 3.728739e-07 4.592113e+04 2.043851e+12 
148 3.747220e-07 4.618717e+04 2.043842e+12 
149 3.769398e-07 4.645948e+04 2.043835e+12 
150 3.796011e-07 4.679112e+04 2.043847e+12 
151 3.811978e-07 4.697120e+04 2.043856e+12 
152 3.827946e-07 4.716593e+04 2.043863e+12 
153 3.847107e-07 4.742649e+04 2.043853e+12 
154 3.870101e-07 4.771328e+04 2.043844e+12 
155 3.897693e-07 4.803194e+04 2.043802e+12 
156 3.930804e-07 4.839608e+04 2.043880e+12 
157 3.970537e-07 4.890623e+04 2.043838e+12 
158 3.994376e-07 4.925206e+04 2.043799e+12 
159 4.018216e-07 4.953342e+04 2.043768e+12 
160 4.046824e-07 4.986123e+04 2.043774e+12 
161 4.081153e-07 5.036170e+04 2.043790e+12 
162 4.122348e-07 5.080730e+04 2.043804e+12 
163 4.171782e-07 5.144700e+04 2.043716e+12 
164 4.231103e-07 5.216763e+04 2.043711e+12 
165 4.248899e-07 5.233606e+04 2.043757e+12 
166 4.266695e-07 5.262795e+04 2.043730e+12 
167 4.288051e-07 5.287370e+04 2.043752e+12 
168 4.300864e-07 5.300974e+04 2.043789e+12 
169 4.313677e-07 5.315122e+04 2.043779e+12 
170 4.329053e-07 5.333548e+04 2.043798e+12 
171 4.347504e-07 5.357258e+04 2.043801e+12 
172 4.358575e-07 5.373146e+04 2.043780e+12 
173 4.369646e-07 5.389206e+04 2.043766e+12 
174 4.382931e-07 5.405396e+04 2.043750e+12 
175 4.398872e-07 5.427869e+04 2.043741e+12 
176 4.418003e-07 5.447510e+04 2.043757e+12 
177 4.440959e-07 5.475636e+04 2.043727e+12 
178 4.468506e-07 5.514997e+04 2.043679e+12 
179 4.485035e-07 5.538643e+04 2.043697e+12 
180 4.501563e-07 5.561343e+04 2.043648e+12 
181 4.521397e-07 5.581716e+04 2.043667e+12 
182 4.545198e-07 5.615043e+04 2.043684e+12 
183 4.559479e-07 5.631235e+04 2.043722e+12 
184 4.573759e-07 5.650121e+04 2.043705e+12 
185 4.590896e-07 5.673288e+04 2.043675e+12 
186 4.611460e-07 5.698103e+04 2.043691e+12 
187 4.623799e-07 5.712012e+04 2.043686e+12 
188 4.636137e-07 5.728457e+04 2.043680e+12 
189 4.650943e-07 5.744651e+04 2.043730e+12 
190 4.668710e-07 5.765504e+04 2.043701e+12 
191 4.690031e-07 5.790179e+04 2.043677e+12 
192 4.715616e-07 5.825549e+04 2.043661e+12 
193 4.746318e-07 5.862459e+04 2.043676e+12 
194 4.764739e-07 5.889535e+04 2.043671e+12 
195 4.783160e-07 5.910497e+04 2.043664e+12 
196 4.805266e-07 5.943169e+04 2.043618e+12 
197 4.831792e-07 5.971615e+04 2.043646e+12 
198 4.863624e-07 6.010870e+04 2.043634e+12 
199 4.901822e-07 6.063390e+04 2.043653e+12 
200 4.924741e-07 6.087595e+04 2.043627e+12 
201 4.936200e-07 6.103603e+04 2.043639e+12 
202 4.947660e-07 6.118178e+04 2.043625e+12 
203 4.961411e-07 6.133494e+04 2.043637e+12 
204 4.977913e-07 6.155268e+04 2.043649e+12 
205 4.997715e-07 6.181701e+04 2.043614e+12 
206 5.021477e-07 6.206041e+04 2.043635e+12 
207 5.049992e-07 6.240290e+04 2.043639e+12 
208 5.084209e-07 6.281514e+04 2.043651e+12 
209 5.104740e-07 6.307106e+04 2.043655e+12 
210 5.125271e-07 6.333697e+04 2.043656e+12 
211 5.149907e-07 6.363052e+04 2.043641e+12 
212 5.179472e-07 6.399057e+04 2.043654e+12 
213 5.214948e-07 6.442506e+04 2.043679e+12 
214 5.225592e-07 6.456066e+04 2.043699e+12 
215 5.236235e-07 6.467788e+04 2.043710e+12 
216 5.249006e-07 6.481419e+04 2.043709e+12 
217 5.264332e-07 6.499978e+04 2.043724e+12 
218 5.282724e-07 6.522243e+04 2.043701e+12 
219 5.304793e-07 6.551379e+04 2.043684e+12 
220 5.318035e-07 6.566357e+04 2.043667e+12 
221 5.324656e-07 6.574095e+04 2.043665e+12 
222 5.331276e-07 6.582136e+04 2.043663e+12 
223 5.339221e-07 6.590755e+04 2.043663e+12 
224 5.348755e-07 6.603717e+04 2.043672e+12 
225 5.360196e-07 6.619737e+04 2.043664e+12 
226 5.373925e-07 6.636898e+04 2.043661e+12 
227 5.390400e-07 6.653756e+04 2.043662e+12 
228 5.410170e-07 6.671238e+04 2.043615e+12 
229 5.422032e-07 6.687901e+04 2.043605e+12 
230 5.433893e-07 6.703663e+04 2.043600e+12 
231 5.448128e-07 6.719015e+04 2.043628e+12 
232 5.465209e-07 6.739169e+04 2.043610e+12 
233 5.485706e-07 6.764939e+04 2.043621e+12 
234 5.510303e-07 6.794085e+04 2.043628e+12 
235 5.539819e-07 6.825336e+04 2.043631e+12 
236 5.575238e-07 6.865845e+04 2.043637e+12 
237 5.617741e-07 6.905488e+04 2.043657e+12 
238 5.643243e-07 6.934537e+04 2.043680e+12 
239 5.668745e-07 6.966527e+04 2.043682e+12 
240 5.684046e-07 6.982286e+04 2.043696e+12 
241 5.699347e-07 7.005141e+04 2.043741e+12 
242 5.717708e-07 7.025822e+04 2.043706e+12 
243 5.739742e-07 7.054159e+04 2.043714e+12 
244 5.752962e-07 7.071431e+04 2.043711e+12 
245 5.766182e-07 7.092204e+04 2.043699e+12 
246 5.782046e-07 7.109499e+04 2.043711e+12 
247 5.801084e-07 7.130871e+04 2.043704e+12 
248 5.823928e-07 7.155485e+04 2.043693e+12 
249 5.851341e-07 7.187583e+04 2.043713e+12 
250 5.884237e-07 7.224418e+04 2.043734e+12 
251 5.923713e-07 7.268875e+04 2.043762e+12 
252 5.971083e-07 7.328448e+04 2.043748e+12 
253 6.027927e-07 7.395844e+04 2.043747e+12 
254 6.096140e-07 7.487020e+04 2.043731e+12 
255 6.177996e-07 7.580946e+04 2.043823e+12 
256 6.202553e-07 7.616038e+04 2.043833e+12 
257 6.227109e-07 7.644215e+04 2.043828e+12 
258 6.256578e-07 7.680690e+04 2.043856e+12 
259 6.274258e-07 7.703042e+04 2.043845e+12 
260 6.291939e-07 7.726759e+04 2.043823e+12 
261 6.302548e-07 7.738105e+04 2.043808e+12 
262 6.313156e-07 7.754816e+04 2.043809e+12 
263 6.325887e-07 7.769921e+04 2.043786e+12 
264 6.341163e-07 7.788892e+04 2.043780e+12 
265 6.359494e-07 7.811094e+04 2.043773e+12 
266 6.370493e-07 7.821977e+04 2.043807e+12 
267 6.381492e-07 7.835617e+04 2.043833e+12 
268 6.394691e-07 7.848186e+04 2.043866e+12 
269 6.410529e-07 7.867487e+04 2.043895e+12 
270 6.429535e-07 7.890905e+04 2.043902e+12 
271 6.452343e-07 7.917162e+04 2.043847e+12 
272 6.479711e-07 7.945931e+04 2.043818e+12 
273 6.496133e-07 7.966573e+04 2.043829e+12 
274 6.512554e-07 7.986488e+04 2.043827e+12 
275 6.532260e-07 8.011228e+04 2.043819e+12 
276 6.544083e-07 8.026120e+04 2.043803e+12 
277 6.555906e-07 8.041900e+04 2.043795e+12 
278 6.570094e-07 8.065107e+04 2.043795e+12 
279 6.587120e-07 8.081993e+04 2.043835e+12 
280 6.607550e-07 8.108013e+04 2.043813e+12 
281 6.632067e-07 8.140844e+04 2.043829e+12 
282 6.646777e-07 8.157941e+04 2.043836e+12 
283 6.661487e-07 8.175890e+04 2.043843e+12 
284 6.679140e-07 8.202227e+04 2.043792e+12 
285 6.700322e-07 8.225069e+04 2.043807e+12 
286 6.713032e-07 8.243081e+04 2.043807e+12 
287 6.725741e-07 8.259480e+04 2.043817e+12 
288 6.740993e-07 8.277469e+04 2.043834e+12 
289 6.759294e-07 8.297281e+04 2.043823e+12 
290 6.770275e-07 8.310323e+04 2.043821e+12 
291 6.781256e-07 8.325665e+04 2.043819e+12 
292 6.794434e-07 8.345200e+04 2.043782e+12 
293 6.810246e-07 8.363830e+04 2.043834e+12 
294 6.829221e-07 8.387834e+04 2.043862e+12 
295 6.851992e-07 8.418421e+04 2.043866e+12 
296 6.865654e-07 8.433952e+04 2.043877e+12 
297 6.879316e-07 8.450186e+04 2.043875e+12 
298 6.895711e-07 8.469299e+04 2.043886e+12 
299 6.915384e-07 8.497590e+04 2.043911e+12 
300 6.938992e-07 8.521014e+04 2.043939e+12 
301 6.953157e-07 8.537222e+04 2.043940e+12 
302 6.967322e-07 8.556000e+04 2.043937e+12 
303 6.984320e-07 8.577509e+04 2.043943e+12 
304 7.004718e-07 8.602333e+04 2.043929e+12 
305 7.029195e-07 8.631071e+04 2.043905e+12 
306 7.043881e-07 8.651475e+04 2.043860e+12 
307 7.058567e-07 8.670554e+04 2.043866e+12 
308 7.067379e-07 8.684530e+04 2.043879e+12 
309 7.076190e-07 8.695697e+04 2.043871e+12 
310 7.086765e-07 8.711680e+04 2.043860e+12 
311 7.099453e-07 8.728728e+04 2.043842e+12 
312 7.114680e-07 8.746842e+04 2.043813e+12 
313 7.132952e-07 8.769589e+04 2.043801e+12 
314 7.154878e-07 8.794132e+04 2.043789e+12 
315 7.181190e-07 8.828712e+04 2.043740e+12 
316 7.212764e-07 8.870871e+04 2.043716e+12 
317 7.250653e-07 8.918102e+04 2.043656e+12 
318 7.296119e-07 8.975097e+04 2.043621e+12 
319 7.323399e-07 9.008502e+04 2.043664e+12 
320 7.350679e-07 9.036581e+04 2.043691e+12 
321 7.367047e-07 9.053541e+04 2.043692e+12 
322 7.383415e-07 9.073955e+04 2.043689e+12 
323 7.403057e-07 9.098238e+04 2.043680e+12 
324 7.426626e-07 9.126384e+04 2.043661e+12 
325 7.454910e-07 9.165751e+04 2.043651e+12 
326 7.488851e-07 9.209709e+04 2.043642e+12 
327 7.509215e-07 9.236650e+04 2.043650e+12 
328 7.529580e-07 9.257955e+04 2.043655e+12 
329 7.541798e-07 9.273478e+04 2.043656e+12 
330 7.554017e-07 9.288644e+04 2.043649e+12 
331 7.568679e-07 9.303239e+04 2.043646e+12 
332 7.586274e-07 9.322756e+04 2.043648e+12 
333 7.607388e-07 9.355387e+04 2.043625e+12 
334 7.632724e-07 9.389140e+04 2.043617e+12 
335 7.647926e-07 9.412490e+04 2.043614e+12 
336 7.663128e-07 9.431543e+04 2.043594e+12 
337 7.681370e-07 9.456807e+04 2.043606e+12 
338 7.703261e-07 9.482744e+04 2.043554e+12 
339 7.716395e-07 9.496252e+04 2.043557e+12 
340 7.729530e-07 9.512998e+04 2.043537e+12 
341 7.745291e-07 9.535043e+04 2.043530e+12 
342 7.764205e-07 9.560226e+04 2.043528e+12 
343 7.775553e-07 9.577443e+04 2.043523e+12 
344 7.786901e-07 9.592960e+04 2.043533e+12 
345 7.800519e-07 9.607518e+04 2.043584e+12 
346 7.816860e-07 9.621446e+04 2.043613e+12 
347 7.826665e-07 9.633953e+04 2.043616e+12 
348 7.836470e-07 9.645290e+04 2.043613e+12 
349 7.848236e-07 9.654482e+04 2.043624e+12 
350 7.862355e-07 9.673695e+04 2.043625e+12 
351 7.879297e-07 9.698452e+04 2.043620e+12 
352 7.899629e-07 9.721217e+04 2.043635e+12 
353 7.924026e-07 9.758565e+04 2.043634e+12 
354 7.953303e-07 9.798682e+04 2.043608e+12 
355 7.970869e-07 9.815899e+04 2.043599e+12 
356 7.988435e-07 9.835651e+04 2.043620e+12 
357 7.998975e-07 9.848796e+04 2.043618e+12 
358 8.009515e-07 9.859038e+04 2.043628e+12 
359 8.022163e-07 9.876284e+04 2.043624e+12 
360 8.037340e-07 9.893041e+04 2.043619e+12 
361 8.055552e-07 9.912961e+04 2.043623e+12 
362 8.077408e-07 9.942077e+04 2.043619e+12 
363 8.090521e-07 9.957677e+04 2.043635e+12 
364 8.103634e-07 9.975700e+04 2.043635e+12 
365 8.119370e-07 9.988411e+04 2.043626e+12 
366 8.138252e-07 1.000942e+05 2.043577e+12 
367 8.149582e-07 1.002359e+05 2.043555e+12 
368 8.160912e-07 1.003757e+05 2.043549e+12 
369 8.174508e-07 1.005676e+05 2.043539e+12 
370 8.190822e-07 1.007716e+05 2.043545e+12 
371 8.210400e-07 1.010354e+05 2.043497e+12 
372 8.233893e-07 1.012924e+05 2.043484e+12 
373 8.262085e-07 1.016194e+05 2.043461e+12 
374 8.279001e-07 1.018440e+05 2.043494e+12 
375 8.295916e-07 1.020304e+05 2.043480e+12 
376 8.316214e-07 1.022832e+05 2.043462e+12 
377 8.328393e-07 1.024193e+05 2.043455e+12 
378 8.340572e-07 1.026158e+05 2.043459e+12 
379 8.355187e-07 1.027047e+05 2.043437e+12 
380 8.372724e-07 1.029106e+05 2.043423e+12 
381 8.383247e-07 1.030299e+05 2.043447e+12 
382 8.393769e-07 1.031560e+05 2.043436e+12 
383 8.406396e-07 1.033030e+05 2.043479e+12 
384 8.421549e-07 1.035009e+05 2.043476e+12 
385 8.439732e-07 1.037349e+05 2.043517e+12 
386 8.461552e-07 1.039949e+05 2.043523e+12 
387 8.487735e-07 1.043438e+05 2.043506e+12 
388 8.519156e-07 1.047405e+05 2.043496e+12 
389 8.556860e-07 1.051942e+05 2.043521e+12 
390 8.602105e-07 1.057856e+05 2.043532e+12 
391 8.615679e-07 1.059935e+05 2.043532e+12 
392 8.629252e-07 1.061485e+05 2.043524e+12 
393 8.645541e-07 1.063602e+05 2.043544e+12 
394 8.665087e-07 1.066111e+05 2.043529e+12 
395 8.688542e-07 1.069097e+05 2.043533e+12 
396 8.716688e-07 1.072843e+05 2.043512e+12 
397 8.733576e-07 1.075579e+05 2.043541e+12 
398 8.750463e-07 1.077515e+05 2.043532e+12 
399 8.770728e-07 1.080366e+05 2.043521e+12 
400 8.795047e-07 1.083947e+05 2.043562e+12 
401 8.824229e-07 1.087748e+05 2.043545e+12 
402 8.859247e-07 1.092277e+05 2.043536e+12 
403 8.880258e-07 1.095276e+05 2.043533e+12 
404 8.901269e-07 1.097780e+05 2.043562e+12 
405 8.926482e-07 1.101361e+05 2.043560e+12 
406 8.956738e-07 1.105287e+05 2.043556e+12 
407 8.993045e-07 1.110204e+05 2.043614e+12 
408 9.014829e-07 1.113009e+05 2.043631e+12 
409 9.036613e-07 1.116018e+05 2.043597e+12 
410 9.062754e-07 1.119738e+05 2.043611e+12 
411 9.094124e-07 1.124336e+05 2.043606e+12 
412 9.131767e-07 1.129231e+05 2.043701e+12 
413 9.154353e-07 1.131986e+05 2.043688e+12 
414 9.165646e-07 1.133329e+05 2.043672e+12 
415 9.176939e-07 1.134589e+05 2.043661e+12 
416 9.190490e-07 1.136231e+05 2.043651e+12 
417 9.206752e-07 1.138515e+05 2.043673e+12 
418 9.226266e-07 1.141415e+05 2.043679e+12 
419 9.237975e-07 1.142848e+05 2.043692e+12 
420 9.249683e-07 1.144658e+05 2.043684e+12 
421 9.263733e-07 1.146454e+05 2.043678e+12 
422 9.280594e-07 1.147839e+05 2.043708e+12 
423 9.300826e-07 1.150459e+05 2.043662e+12 
424 9.312965e-07 1.151932e+05 2.043680e+12 
425 9.325105e-07 1.153805e+05 2.043699e+12 
426 9.339672e-07 1.155687e+05 2.043727e+12 
427 9.357153e-07 1.157548e+05 2.043740e+12 
428 9.378129e-07 1.160599e+05 2.043743e+12 
429 9.403302e-07 1.163908e+05 2.043779e+12 
430 9.433508e-07 1.166653e+05 2.043705e+12 
431 9.451632e-07 1.169273e+05 2.043744e+12 
