# Step Strain Stress Density
119 2.582951e-04 2.965256e+07 2.220660e+12 
120 2.612951e-04 2.996062e+07 2.227442e+12 
121 2.642951e-04 3.028777e+07 2.237052e+12 
122 2.672951e-04 3.059305e+07 2.236340e+12 
123 2.702951e-04 3.090267e+07 2.239845e+12 
124 2.732951e-04 3.118696e+07 2.243214e+12 
125 2.762951e-04 3.148571e+07 2.251886e+12 
126 2.792951e-04 3.177327e+07 2.265771e+12 
127 2.822951e-04 3.206799e+07 2.265065e+12 
128 2.852951e-04 3.237303e+07 2.272314e+12 
129 2.882951e-04 3.268340e+07 2.279082e+12 
130 2.912951e-04 3.298467e+07 2.284590e+12 
131 2.942951e-04 3.327996e+07 2.290598e+12 
132 2.972951e-04 3.355863e+07 2.293022e+12 
133 3.002951e-04 3.385572e+07 2.298035e+12 
134 3.032951e-04 3.415959e+07 2.302338e+12 
135 3.062951e-04 3.445360e+07 2.311440e+12 
136 3.092951e-04 3.474857e+07 2.317658e+12 
137 3.122951e-04 3.505472e+07 2.327063e+12 
138 3.152951e-04 3.535101e+07 2.334798e+12 
139 3.182951e-04 3.565670e+07 2.345797e+12 
140 3.212951e-04 3.595148e+07 2.351285e+12 
141 3.242951e-04 3.623908e+07 2.356716e+12 
142 3.272951e-04 3.654022e+07 2.363147e+12 
143 3.302951e-04 3.684087e+07 2.372424e+12 
144 3.332951e-04 3.713017e+07 2.381082e+12 
145 3.362951e-04 3.742658e+07 2.390136e+12 
146 3.392951e-04 3.772144e+07 2.398702e+12 
147 3.422951e-04 3.801467e+07 2.406141e+12 
148 3.452951e-04 3.829662e+07 2.414622e+12 
149 3.482951e-04 3.858509e+07 2.424648e+12 
150 3.512951e-04 3.886466e+07 2.436536e+12 
151 3.542951e-04 3.911937e+07 2.449194e+12 
152 3.572951e-04 3.938723e+07 2.456496e+12 
153 3.602951e-04 3.964272e+07 2.465967e+12 
154 3.632951e-04 3.991000e+07 2.476138e+12 
155 3.662951e-04 4.019134e+07 2.486759e+12 
156 3.692951e-04 4.047386e+07 2.498985e+12 
157 3.722951e-04 4.075280e+07 2.510441e+12 
158 3.752951e-04 4.103020e+07 2.520996e+12 
159 3.782951e-04 4.129501e+07 2.532384e+12 
160 3.812951e-04 4.157567e+07 2.542472e+12 
161 3.842951e-04 4.183357e+07 2.555606e+12 
162 3.872951e-04 4.209576e+07 2.565576e+12 
163 3.902951e-04 4.235620e+07 2.579005e+12 
164 3.932951e-04 4.262652e+07 2.591742e+12 
165 3.962951e-04 4.289362e+07 2.606149e+12 
166 3.992951e-04 4.317021e+07 2.616651e+12 
167 4.022951e-04 4.344322e+07 2.631334e+12 
168 4.052951e-04 4.369672e+07 2.642693e+12 
169 4.082951e-04 4.398249e+07 2.662763e+12 
170 4.112951e-04 4.423585e+07 2.674128e+12 
171 4.142951e-04 4.448353e+07 2.682005e+12 
172 4.172951e-04 4.473020e+07 2.699565e+12 
173 4.202951e-04 4.498212e+07 2.717052e+12 
174 4.232951e-04 4.522957e+07 2.730406e+12 
175 4.262951e-04 4.547429e+07 2.746282e+12 
176 4.292951e-04 4.572444e+07 2.764229e+12 
177 4.322951e-04 4.596517e+07 2.778069e+12 
178 4.352951e-04 4.617823e+07 2.791661e+12 
179 4.382951e-04 4.638285e+07 2.812788e+12 
180 4.412951e-04 4.658588e+07 2.832029e+12 
181 4.442951e-04 4.678431e+07 2.848604e+12 
182 4.472951e-04 4.698703e+07 2.870928e+12 
183 4.502951e-04 4.718665e+07 2.902545e+12 
184 4.532951e-04 4.739033e+07 2.922048e+12 
185 4.562951e-04 4.758400e+07 2.934038e+12 
186 4.592951e-04 4.777103e+07 2.956137e+12 
187 4.622951e-04 4.795485e+07 2.979545e+12 
188 4.652951e-04 4.814587e+07 3.001562e+12 
189 4.682951e-04 4.832965e+07 3.025012e+12 
190 4.712951e-04 4.851131e+07 3.049378e+12 
191 4.742951e-04 4.868118e+07 3.072949e+12 
192 4.772951e-04 4.884615e+07 3.098859e+12 
193 4.802951e-04 4.902165e+07 3.124172e+12 
194 4.832951e-04 4.918848e+07 3.152128e+12 
195 4.862951e-04 4.935015e+07 3.182555e+12 
196 4.892951e-04 4.952016e+07 3.204731e+12 
197 4.922951e-04 4.965722e+07 3.230994e+12 
198 4.952951e-04 4.980942e+07 3.264268e+12 
199 4.982951e-04 4.995373e+07 3.298618e+12 
200 5.012951e-04 5.012275e+07 3.316752e+12 
201 5.042951e-04 5.024907e+07 3.338818e+12 
202 5.072951e-04 5.038575e+07 3.368360e+12 
203 5.102951e-04 5.052291e+07 3.396977e+12 
204 5.132951e-04 5.067406e+07 3.423873e+12 
205 5.162951e-04 5.082561e+07 3.450975e+12 
206 5.192951e-04 5.097764e+07 3.475488e+12 
207 5.222951e-04 5.115195e+07 3.500359e+12 
208 5.252951e-04 5.133716e+07 3.526502e+12 
209 5.282951e-04 5.150928e+07 3.552746e+12 
210 5.312951e-04 5.168125e+07 3.578323e+12 
211 5.342951e-04 5.186708e+07 3.599164e+12 
212 5.372951e-04 5.205637e+07 3.621390e+12 
213 5.402951e-04 5.224949e+07 3.644838e+12 
214 5.432951e-04 5.244788e+07 3.667398e+12 
215 5.462951e-04 5.264347e+07 3.689512e+12 
216 5.492951e-04 5.283530e+07 3.716440e+12 
217 5.522951e-04 5.303928e+07 3.742303e+12 
218 5.552951e-04 5.322509e+07 3.763239e+12 
219 5.582951e-04 5.341095e+07 3.785140e+12 
220 5.612951e-04 5.359462e+07 3.805129e+12 
221 5.642951e-04 5.377159e+07 3.828885e+12 
222 5.672951e-04 5.395467e+07 3.859483e+12 
223 5.702951e-04 5.414167e+07 3.879785e+12 
224 5.732951e-04 5.428769e+07 3.901067e+12 
225 5.762951e-04 5.444966e+07 3.926721e+12 
226 5.792951e-04 5.463088e+07 3.961197e+12 
227 5.822951e-04 5.480120e+07 3.978867e+12 
228 5.852951e-04 5.494456e+07 4.000458e+12 
229 5.882951e-04 5.510327e+07 4.028458e+12 
230 5.912951e-04 5.526376e+07 4.057262e+12 
231 5.942951e-04 5.540772e+07 4.077698e+12 
232 5.972951e-04 5.555514e+07 4.102491e+12 
233 6.002951e-04 5.572105e+07 4.126341e+12 
234 6.032951e-04 5.586888e+07 4.153932e+12 
235 6.062951e-04 5.600941e+07 4.178908e+12 
236 6.092951e-04 5.615503e+07 4.205806e+12 
237 6.122951e-04 5.630036e+07 4.232706e+12 
238 6.152951e-04 5.645727e+07 4.260370e+12 
239 6.182951e-04 5.660848e+07 4.289944e+12 
240 6.212951e-04 5.675067e+07 4.313885e+12 
241 6.242951e-04 5.690456e+07 4.341512e+12 
242 6.272951e-04 5.705929e+07 4.372241e+12 
243 6.302951e-04 5.722009e+07 4.402842e+12 
244 6.332951e-04 5.738545e+07 4.433832e+12 
245 6.362951e-04 5.753572e+07 4.456553e+12 
246 6.392951e-04 5.770583e+07 4.385779e+12 
247 6.422951e-04 5.785518e+07 4.403195e+12 
248 6.452951e-04 5.801768e+07 4.424479e+12 
249 6.482951e-04 5.820081e+07 4.448606e+12 
250 6.512951e-04 5.838976e+07 4.469642e+12 
251 6.542951e-04 5.858930e+07 4.491285e+12 
252 6.572951e-04 5.878065e+07 4.512558e+12 
253 6.602951e-04 5.897169e+07 4.535653e+12 
254 6.632951e-04 5.915287e+07 4.549870e+12 
255 6.662951e-04 5.931766e+07 4.574121e+12 
256 6.692951e-04 5.947617e+07 4.602883e+12 
257 6.722951e-04 5.965013e+07 4.628744e+12 
258 6.752951e-04 5.979947e+07 4.653263e+12 
259 6.782951e-04 5.994995e+07 4.681732e+12 
260 6.812951e-04 6.011687e+07 4.709732e+12 
261 6.842951e-04 6.027978e+07 4.737615e+12 
262 6.872951e-04 6.044822e+07 4.763865e+12 
263 6.902951e-04 6.060141e+07 4.788938e+12 
264 6.932951e-04 6.075312e+07 4.818965e+12 
265 6.962951e-04 6.090711e+07 4.869384e+12 
266 6.992951e-04 6.102636e+07 4.886095e+12 
267 7.022951e-04 6.113333e+07 4.898943e+12 
268 7.052951e-04 6.124172e+07 4.926689e+12 
269 7.082951e-04 6.135404e+07 4.959433e+12 
270 7.112951e-04 6.147251e+07 4.988371e+12 
271 7.142951e-04 6.156354e+07 5.019025e+12 
272 7.172951e-04 6.166286e+07 5.053275e+12 
273 7.202951e-04 6.175953e+07 5.083256e+12 
274 7.232951e-04 6.185859e+07 5.116951e+12 
275 7.262951e-04 6.195952e+07 5.148806e+12 
276 7.292951e-04 6.205783e+07 5.183364e+12 
277 7.322951e-04 6.215366e+07 5.205609e+12 
278 7.352951e-04 6.225272e+07 5.226138e+12 
279 7.382951e-04 6.235846e+07 5.251969e+12 
280 7.412951e-04 6.247604e+07 5.278535e+12 
281 7.442951e-04 6.259996e+07 5.307779e+12 
282 7.472951e-04 6.272998e+07 5.337480e+12 
283 7.502951e-04 6.285769e+07 5.367469e+12 
284 7.532951e-04 6.298872e+07 5.398007e+12 
